# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	23016	23456	-	AVX54584.1			Single-stranded DNA-binding protein	priB		JCVISYN3A_0026	441	146	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	23468	23881	-					rpsF		JCVISYN3A_0027	414		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	23468	23881	-	AVX54585.1			30S ribosomal protein S6	rpsF		JCVISYN3A_0027	414	137	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	24273	24872	+							JCVISYN3A_0029	600		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	24273	24872	+	AVX54586.1			Uncharacterized FMN-dependent NADH-azoreductase			JCVISYN3A_0029	600	199	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	24909	25943	-							JCVISYN3A_0030	1035		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	24909	25943	-	AVX54587.1			Uncharacterized ABC transporter ATP-binding protein			JCVISYN3A_0030	1035	344	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	26204	29362	-							JCVISYN3A_0033	3159		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	26204	29362	-	AVX54588.1			Uncharacterized protein			JCVISYN3A_0033	3159	1052	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	29509	34896	+							JCVISYN3A_0034	5388		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	29509	34896	+	AVX54589.1			Uncharacterized efflux ABC transporter permease			JCVISYN3A_0034	5388	1795	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	35062	37008	-					ftsH		JCVISYN3A_0039	1947		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	35062	37008	-	AVX54590.1			Membrane anchored AAA+ protease	ftsH		JCVISYN3A_0039	1947	648	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	37240	38445	-					tilS		JCVISYN3A_0040	1206		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	37240	38445	-	AVX54591.1			tRNA lysidine(34) synthetase	tilS		JCVISYN3A_0040	1206	401	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	38448	39275	-							JCVISYN3A_0042	828		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	38448	39275	-	AVX54592.1			Uncharacterized transcriptional regulator			JCVISYN3A_0042	828	275	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	39327	40049	-					yabD		JCVISYN3A_0043	723		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	39327	40049	-	AVX54593.1			Uncharacterized methyltransferase	yabD		JCVISYN3A_0043	723	240	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	40049	40789	-					holA		JCVISYN3A_0044	741		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	40049	40789	-	AVX54594.1			DNA polymerase III subunit delta	holA		JCVISYN3A_0044	741	246	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	40767	41408	-					tmk		JCVISYN3A_0045	642		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	40767	41408	-	AVX54595.1			dTMP kinase	tmk		JCVISYN3A_0045	642	213	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	41411	42001	-					recR		JCVISYN3A_0046	591		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	41411	42001	-	AVX54596.1			Recombination protein	recR		JCVISYN3A_0046	591	196	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	42003	44009	-					dnaX		JCVISYN3A_0047	2007		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	42003	44009	-	AVX54597.1			DNA polymerase III subunit gamma and tau	dnaX		JCVISYN3A_0047	2007	668	
gene	SRP_RNA	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	44178	44273	-					ffs		JCVISYN3A_0049	96		
ncRNA	SRP_RNA	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	44178	44273	-				Signal recognition particle sRNA small type	ffs		JCVISYN3A_0049	96		
gene	pseudogene	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	44397	45011	-							JCVISYN3A_0051	615		pseudo
CDS	without_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	44397	45011	-							JCVISYN3A_0051	615		pseudo
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	45293	45742	-					ahpC		JCVISYN3A_0054	450		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	45293	45742	-	AVX54598.1			Uncharacterized peroxiredoxin	ahpC		JCVISYN3A_0054	450	149	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	46274	47098	+							JCVISYN3A_0060	825		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	46274	47098	+	AVX54599.1			Uncharacterized protein			JCVISYN3A_0060	825	274	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	47181	48449	+					serRS		JCVISYN3A_0061	1269		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	47181	48449	+	AVX54600.1			Serine--tRNA ligase	serRS		JCVISYN3A_0061	1269	422	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	48559	49533	+					dusB		JCVISYN3A_0063	975		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	48559	49533	+	AVX54601.1			Uncharacterized tRNA dihydrouridine synthase	dusB		JCVISYN3A_0063	975	324	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	49536	51038	+					lysRS		JCVISYN3A_0064	1503		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	49536	51038	+	AVX54602.1			Lysine--tRNA ligase	lysRS		JCVISYN3A_0064	1503	500	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	51128	51436	-					trxA		JCVISYN3A_0065	309		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	51128	51436	-	AVX54603.1			Thioredoxin	trxA		JCVISYN3A_0065	309	102	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	51447	52289	-							JCVISYN3A_0066	843		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	51447	52289	-	AVX54604.1			Low specificity hydrolase			JCVISYN3A_0066	843	280	
gene	rRNA	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	52410	52518	-					rrfA		JCVISYN3A_0067	109		
rRNA		GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	52410	52518	-				5S ribosomal RNA	rrfA		JCVISYN3A_0067	109		
gene	rRNA	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	52580	55493	-					rrlA		JCVISYN3A_0068	2914		
rRNA		GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	52580	55493	-				23S ribosomal RNA	rrlA		JCVISYN3A_0068	2914		
gene	rRNA	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	55713	57247	-					rrsA		JCVISYN3A_0069	1535		
rRNA		GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	55713	57247	-				16S ribosomal RNA	rrsA		JCVISYN3A_0069	1535		
gene	tRNA	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	57525	57608	-					tRNA-Leu		JCVISYN3A_0070	84		
tRNA		GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	57525	57608	-				tRNA-Leu	tRNA-Leu		JCVISYN3A_0070	84		
gene	tRNA	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	57611	57686	-					tRNA-Lys		JCVISYN3A_0071	76		
tRNA		GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	57611	57686	-				tRNA-Lys	tRNA-Lys		JCVISYN3A_0071	76		
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	58156	59520	-					asnRS		JCVISYN3A_0076	1365		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	58156	59520	-	AVX54605.1			Asparagine--tRNA ligase	asnRS		JCVISYN3A_0076	1365	454	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	59529	60368	-							JCVISYN3A_0077	840		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	59529	60368	-	AVX54606.1			Uncharacterized hydrolase			JCVISYN3A_0077	840	279	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	60404	61360	-					tsaD		JCVISYN3A_0079	957		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	60404	61360	-	AVX54607.1			tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit D	tsaD		JCVISYN3A_0079	957	318	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	61455	61676	-							JCVISYN3A_0080	222		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	61455	61676	-	AVX54608.1			Uncharacterized protein			JCVISYN3A_0080	222	73	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	61876	63234	+					mnmE; trmE		JCVISYN3A_0081	1359		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	61876	63234	+	AVX54609.1			tRNA uridine(34) 5-carboxymethylaminomethyl synthesis GTPase	mnmE; trmE		JCVISYN3A_0081	1359	452	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	63285	63530	-					rpsT		JCVISYN3A_0082	246		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	63285	63530	-	AVX54610.1			30S ribosomal protein S20	rpsT		JCVISYN3A_0082	246	81	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	63664	64380	-							JCVISYN3A_0094	717		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	63664	64380	-	AVX54611.1			Uncharacterized protein			JCVISYN3A_0094	717	238	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	64495	67329	-					secA		JCVISYN3A_0095	2835		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	64495	67329	-	AVX54612.1			Preprotein translocase subunit A	secA		JCVISYN3A_0095	2835	944	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	67494	68405	+					yycJ		JCVISYN3A_0097	912		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	67494	68405	+	AVX54613.1			Uncharacterized 5'-3' exonuclease	yycJ		JCVISYN3A_0097	912	303	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	68809	69024	-					xseB		JCVISYN3A_0105	216		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	68809	69024	-	AVX54614.1			Exodeoxyribonuclease VII small subunit	xseB		JCVISYN3A_0105	216	71	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	69014	70423	-					xseA		JCVISYN3A_0106	1410		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	69014	70423	-	AVX54615.1			Exodeoxyribonuclease VII large subunit	xseA		JCVISYN3A_0106	1410	469	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	70425	70823	-					nusB		JCVISYN3A_0107	399		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	70425	70823	-	AVX54616.1			Transcription antitermination factor	nusB		JCVISYN3A_0107	399	132	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	70835	71947	-							JCVISYN3A_0108	1113		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	70835	71947	-	AVX54617.1			Uncharacterized lipoprotein			JCVISYN3A_0108	1113	370	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	71973	72842	-							JCVISYN3A_0109	870		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	71973	72842	-	AVX54618.1			Deoxyribonuclease IV			JCVISYN3A_0109	870	289	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	73088	74437	+					bcsA		JCVISYN3A_0113	1350		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	73088	74437	+	AVX54619.1			Glycolipid synthase A	bcsA		JCVISYN3A_0113	1350	449	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	74511	75431	-					bcsB; cps		JCVISYN3A_0114	921		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	74511	75431	-	AVX54620.1			Glycolipid synthase B	bcsB; cps		JCVISYN3A_0114	921	306	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	75879	76751	-					galU; gtaB		JCVISYN3A_0115	873		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	75879	76751	-	AVX54621.1			UTP--glucose-1-phosphate uridylyltransferase	galU; gtaB		JCVISYN3A_0115	873	290	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	76936	77376	-							JCVISYN3A_0116	441		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	76936	77376	-	AVX54622.1			Uncharacterized protein			JCVISYN3A_0116	441	146	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	77446	78207	+					plsY		JCVISYN3A_0117	762		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	77446	78207	+	AVX54623.1			Acyl-phosphate glycerol 3-phosphate acyltransferase	plsY		JCVISYN3A_0117	762	253	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	78403	79854	+					gluRS		JCVISYN3A_0126	1452		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	78403	79854	+	AVX54624.1			Glutamate--tRNA ligase	gluRS		JCVISYN3A_0126	1452	483	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	79857	81071	+							JCVISYN3A_0127	1215		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	79857	81071	+	AVX54625.1			Uncharacterized phosphohydrolase			JCVISYN3A_0127	1215	404	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	81097	81525	+					rpoE		JCVISYN3A_0128	429		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	81097	81525	+	AVX54626.1			DNA-directed RNA polymerase subunit delta	rpoE		JCVISYN3A_0128	429	142	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	81617	83215	+					pyrG		JCVISYN3A_0129	1599		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	81617	83215	+	AVX54627.1			CTP synthase	pyrG		JCVISYN3A_0129	1599	532	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	83504	84397	+					fbaA		JCVISYN3A_0131	894		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	83504	84397	+	AVX54628.1			Fructose-1,6-bisphosphate aldolase	fbaA		JCVISYN3A_0131	894	297	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	84546	85607	+					ietA		JCVISYN3A_0132	1062		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	84546	85607	+	AVX54629.1			Toxin-antitoxin AAA ATPase	ietA		JCVISYN3A_0132	1062	353	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	85600	87873	+					ietS		JCVISYN3A_0133	2274		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	85600	87873	+	AVX54630.1			Toxin-antitoxin serine protease	ietS		JCVISYN3A_0133	2274	757	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	88733	89011	+					rpmE		JCVISYN3A_0137	279		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	88733	89011	+	AVX54631.1			50S ribosomal protein L31	rpmE		JCVISYN3A_0137	279	92	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	89084	90982	+							JCVISYN3A_0138	1899		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	89084	90982	+	AVX54632.1			Uncharacterized protein			JCVISYN3A_0138	1899	632	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	90992	91942	+					ytqI; orn		JCVISYN3A_0139	951		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	90992	91942	+	AVX54633.1			NanoRNAse	ytqI; orn		JCVISYN3A_0139	951	316	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	91944	92573	+					tdk		JCVISYN3A_0140	630		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	91944	92573	+	AVX54634.1			Thymidine kinase	tdk		JCVISYN3A_0140	630	209	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	92576	93670	+					prfA		JCVISYN3A_0141	1095		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	92576	93670	+	AVX54635.1			Peptide chain release factor 1	prfA		JCVISYN3A_0141	1095	364	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	93663	94511	+					prmC		JCVISYN3A_0142	849		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	93663	94511	+	AVX54636.1			Protein-(glutamine-N5) methyltransferase, release factor-specific	prmC		JCVISYN3A_0142	849	282	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	94520	95992	+							JCVISYN3A_0143	1473		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	94520	95992	+	AVX54637.1			Uncharacterized protein			JCVISYN3A_0143	1473	490	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	96001	96501	+					tsaC		JCVISYN3A_0144	501		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	96001	96501	+	AVX54638.1			tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit	tsaC		JCVISYN3A_0144	501	166	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	96616	97530	+							JCVISYN3A_0145	915		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	96616	97530	+	AVX54639.1			Uncharacterized acetyltransferase			JCVISYN3A_0145	915	304	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	97759	98466	+							JCVISYN3A_0146	708		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	97759	98466	+	AVX54640.1			Uncharacterized protein			JCVISYN3A_0146	708	235	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	98466	99995	+					clsA		JCVISYN3A_0147	1530		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	98466	99995	+	AVX54641.1			Cardiolipin synthase	clsA		JCVISYN3A_0147	1530	509	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	100119	100538	+					rpsL		JCVISYN3A_0148	420		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	100119	100538	+	AVX54642.1			30S ribosomal protein S12	rpsL		JCVISYN3A_0148	420	139	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	100625	101092	+					rpsG		JCVISYN3A_0149	468		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	100625	101092	+	AVX54643.1			30S ribosomal protein S7	rpsG		JCVISYN3A_0149	468	155	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	101117	103186	+							JCVISYN3A_0150	2070		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	101117	103186	+	AVX54644.1			Translation elongation factor G			JCVISYN3A_0150	2070	689	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	103318	104505	+							JCVISYN3A_0151	1188		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	103318	104505	+	AVX54645.1			Translation elongation factor Tu			JCVISYN3A_0151	1188	395	
gene	tmRNA	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	104782	105192	+					ssrA		JCVISYN3A_0158	411		
tmRNA		GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	104782	105192	+				Transfer-messenger RNA	ssrA		JCVISYN3A_0158	411		
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	105431	108121	-					alaRS		JCVISYN3A_0163	2691		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	105431	108121	-	AVX54646.1			Alanine--tRNA ligase	alaRS		JCVISYN3A_0163	2691	896	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	108195	108689	-							JCVISYN3A_0164	495		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	108195	108689	-	AVX54647.1			Uncharacterized protein			JCVISYN3A_0164	495	164	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	108907	110151	+					amiC		JCVISYN3A_0165	1245		
CDS	with_protein	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	108907	110151	+	AVX54648.1			Oligopeptide ABC transporter permease	amiC		JCVISYN3A_0165	1245	414	
gene	protein_coding	GCA_001708325.2	Primary Assembly	chromosome		CP016816.2	110167	111177	+							JCVISYN3A_0166	1011		
