p_id;copy_per_cell;mass;fg_per_cell;mg_per_gP
protein_0169;314.0769185;118300.2556;0.0616994017545838;11.0143020989911
protein_0195;182.445787;119674.8321;0.0362573379717326;6.47249831229063
protein_0196;19.1064958;37238.3527;0.00118149191209145;0.210914668168935
protein_0197;207.5824786;40063.7046;0.0138102343121325;2.46534145301304
protein_0198;324.5984423;13962.3354;0.00752599189921977;1.34350651732872
protein_0200;154.287084;21025.0079;0.00538672726663561;0.961614533567006
protein_0201;156.126941;23299.2506;0.00604058572529129;1.0783384302145
protein_0202;124.5662383;21842.2202;0.00451810562343785;0.80655207079051
protein_0203;185.5344697;34241.868;0.0105497290284248;1.88329058754503
protein_0213;998.1102717;49547.0152;0.0821211969498439;14.6599099215599
protein_0215;48.81095079;16512.9052;0.0013384433794705;0.238932944318014
protein_0216;438.7276707;21880.1678;0.015940609520789;2.84564653645091
protein_0218;396.0868028;57133.3787;0.0375785076427177;6.708347631189
protein_0220;458.4523059;35185.0982;0.0267862660297375;4.78176477835224
protein_0221;550.7175959;53621.937;0.0490377685688164;8.75400379773099
protein_0222;302.5806218;74600.5145;0.0374836766257222;6.6914188208628
protein_0227;182.0138853;46977.7019;0.0141989273418867;2.53472919959953
protein_0228;182.2074216;67868.3159;0.0205348901502379;3.66579702966917
protein_0229;300.5014554;35639.6137;0.0177843835714775;3.17478885905139
protein_0233;353.3086428;64495.518;0.0378392958008352;6.75490237038681
protein_0234;313.8664444;16879.2508;0.00879746003442686;1.57048333966674
protein_0238;171.9243054;23845.3812;0.00680770607739658;1.2152813350741
protein_0239;54.83826442;71208.1953;0.0064844467664105;1.15757452420947
protein_0240;95.66121113;45502.562;0.00722821353443692;1.29034845136712
protein_0247;63.16252108;22680.0943;0.00237883084410518;0.424658275676489
protein_0248;13.7224248;22659.6458;0.000516348863309757;0.092176296807316
protein_0249;52.92303735;22964.7162;0.00201820414012745;0.360280804426875
protein_0250;262.4270469;27471.5872;0.0119715833652472;2.13711368406085
protein_0253;395.8666112;17475.8593;0.0114880591147443;2.05079709077506
protein_0254;58.05928043;68804.817;0.00663360704938199;1.18420195285706
protein_0257;335.0115614;65649.8361;0.0365218434033794;6.51971664258451
protein_0260;224.7761058;103209.8101;0.0385239109841174;6.87711682037807
protein_0262;208.8190492;25688.3935;0.00890771488898283;1.59016554470318
protein_0270;10.48631718;16266.699;0.000283257663875106;0.0505658951797393
protein_0271;67.04661361;21881.105;0.00243615740998811;0.434891958613057
protein_0281;19.92589152;27570.102;0.000912253174439281;0.162851369191621
protein_0282;218.4272443;55402.8631;0.0200954744491251;3.58735449795148
protein_0283;37.78455187;23936.7387;0.00150189130688938;0.268110939547308
protein_0285;146.8442601;67834.7407;0.0165412525857968;2.95287065829855
protein_0287;188.3916923;66594.9008;0.0208334873136211;3.71910126390609
protein_0288;251.8994541;48432.1635;0.0202591091772367;3.61656584000754
protein_0289;193.9637296;13781.8674;0.00443902756850989;0.792435409014086
protein_0290;5.388219651;33338.8573;0.000298301371713293;0.0532514308268728
protein_0291;67.96809706;21308.5427;0.00240501676924735;0.429332870276364
protein_0294;95.87213471;10256.0094;0.00163278896510101;0.291478205851251
protein_0296;9.720643487;25345.9108;0.00040913079166407;0.0730362047157563
protein_0297;459.762414;68757.4683;0.0524943533811632;9.37105790638194
protein_0298;11.78858938;11177.3469;0.000218806298508661;0.0390603248070778
protein_0300;463.9326562;67531.563;0.0520260667551107;9.28746146587226
protein_0301;139.5442304;19515.1684;0.00452213410080438;0.807271216608008
protein_0302;160.3724027;24696.3029;0.00657689377927595;1.17407775274805
protein_0303;103.501781;170995.765;0.0293895154781758;5.24648526264771
protein_0304;1.271265515;39789.2917;8.39966031293353e-05;0.0149946990707545
protein_0305;413.0952958;40671.8827;0.0278999724588167;4.98057868433237
protein_0308;27.42718597;38423.3049;0.00174998859029278;0.312400160376601
protein_0314;149.6114825;27242.7566;0.00676823182051255;1.20823456674103
protein_0315;6.283215064;6090.9893;6.35519689877496e-05;0.0113450141413209
protein_0316;148.0145366;72952.1974;0.017930896200785;3.2009436403721
protein_0317;19.49405163;8896.8384;0.000288003034064043;0.0514130175074467
protein_0325;10.38012122;58426.6166;0.00100709957287025;0.179782925343094
protein_0326;34.69280668;30591.1861;0.00176236151690336;0.314608920067329
protein_0327;0.629209025;32796.1945;3.42671231568505e-05;0.00611721403740914
protein_0328;30.5631351;24335.1503;0.00123506889122834;0.220478991598072
protein_0329;109.1500634;29618.1298;0.00536835062347962;0.958334017167666
protein_0330;62.97190306;24277.6268;0.00253870534934649;0.453198359511642
protein_0332;31.38031291;32823.4853;0.00171041388161871;0.305335459837857
protein_0338;109.3309253;25615.3304;0.00465052768930126;0.830191467551496
protein_0344;190.2229256;21453.1462;0.00677661945115995;1.20973188916585
protein_0345;9.527603432;34038.2533;0.000538530353637272;0.0961360375588533
protein_0346;34.31532856;27427.3143;0.00156289820943688;0.27900161977553
protein_0347;66.4785342;25458.1922;0.00281040069883406;0.501700201880394
protein_0348;33.65374834;49682.0065;0.00277646254363541;0.495641713736096
protein_0350;27.63131672;10011.5381;0.000459368947352121;0.0820044962697863
protein_0352;11.255193;21528.1268;0.000402363371076839;0.0718281149667635
protein_0353;68.90445128;14996.1012;0.00171587201017162;0.306309820610689
protein_0359;206.1729035;57612.2953;0.0197245004970116;3.52112988210047
protein_0360;364.7723426;50104.8806;0.0303501738162658;5.41797770582772
protein_0361;122.6876185;18386.4444;0.00374591344423557;0.668703765971569
protein_0362;225.2131109;10565.2657;0.00395123938190313;0.705357636866858
protein_0363;5.345851414;19034.0591;0.000168969199192784;0.0301636280483979
protein_0364;25.17425309;27663.3605;0.00115643380695269;0.206441406967403
protein_0365;203.6802836;14475.7925;0.00489610349009424;0.87403056454784
protein_0366;146.1302229;36079.4553;0.00875506284473528;1.56291478240149
protein_0371;175.1991547;70965.6108;0.0206461558036021;3.68565967800196
protein_0372;64.75203044;69780.5396;0.00750320761258523;1.33943916806817
protein_0373;48.1097892;63907.0652;0.00510553874985496;0.911418013300758
protein_0375;52.88167679;29177.3586;0.00256218473442565;0.457389794647254
protein_0376;7.883011762;13721.7229;0.000179622223539696;0.0320653584556311
protein_0377;150.4965903;48380.9428;0.012090944747425;2.15842154580462
protein_0378;250.7965632;27740.6992;0.0115530920294337;2.06240647673988
protein_0380;65.46556623;43540.6493;0.00473333321229883;0.844973540307856
protein_0381;15.41567204;25285.1307;0.00064727213942168;0.115548136304596
protein_0382;22.54196892;25312.4888;0.000947514672563016;0.169146094614449
protein_0387;71.75059388;43241.8569;0.0051521569462786;0.919740085867402
protein_0388;86.09815919;24220.0567;0.00346280687038762;0.618164842709804
protein_0389;74.11695945;85234.7898;0.0104904408159015;1.87270672019671
protein_0390;127.90282;35953.5671;0.0076362713735457;1.36319311737673
protein_0391;115.075301;20474.2521;0.00391245553496742;0.698434117439392
protein_0392;97.61132993;11460.212;0.00185759969212844;0.331610414465251
protein_0394;756.6970959;89189.2442;0.112071142596572;20.0064406790793
protein_0399;59.03715406;200843.2469;0.0196898268169145;3.51494009133082
protein_0400;39.72443217;20221.2915;0.00133390787542602;0.238123286358673
protein_0402;64.48983391;19716.036;0.00211139801893653;0.376917360143621
protein_0403;46.00918003;34504.3784;0.00263619753840725;0.470602230409423
protein_0404;8.623794414;28886.2849;0.000413665530325195;0.0738457260422722
protein_0405;103.845027;53408.3362;0.00920988062888422;1.64410682530874
protein_0406;59.8046559;70583.1096;0.00700962899697773;1.25132771435381
protein_0407;227.167978;58279.752;0.0219848778149808;3.92464236244588
protein_0408;18.77148368;26405.0013;0.00082308377777039;0.146933246082381
protein_0409;88.44279853;30392.8886;0.00446368668747017;0.796837444982016
protein_0410;120.0552522;52710.7041;0.0105084637568334;1.87592409525208
protein_0411;83.08804285;58075.2546;0.00801288482685065;1.43042447183531
protein_0412;215.0536217;159057.6428;0.0568015977137246;10.1399679597031
protein_0413;363.0004421;19279.2503;0.0116213490240062;2.07459141107006
protein_0414;122.3613988;87158.4469;0.0177097799400856;3.16147095141427
protein_0415;201.9195046;112790.709;0.0378190702171418;6.75129178936668
protein_0416;0.171257526;15396.4921;4.37855387931675e-06;0.000781639915656417
protein_0418;59.33411867;26900.2002;0.00265044780955423;0.473146125276179
protein_0419;140.1413915;36775.197;0.00855816552684594;1.52776555112789
protein_0420;204.8794497;61328.9432;0.0208652277208545;3.72476741988283
protein_0421;81.05805442;11840.6533;0.00159378996937853;0.284516279021665
protein_0422;118.0710008;7351.4861;0.00144137715243157;0.257308222511014
protein_0424;6.771736623;17662.8137;0.000198618270337954;0.0354564480314235
protein_0425;55.96725406;43649.9835;0.00405674147502376;0.724191400123245
protein_0426;26.11946999;78322.2065;0.00339710149821875;0.606435412634078
protein_0427;122.8154255;30539.252;0.00622831489344358;1.11185100427553
protein_0428;132.7723098;26344.203;0.00580833723372648;1.03687846503843
protein_0429;88.04617911;46799.3079;0.00684241156690043;1.22147680431721
protein_0430;40.91740885;13564.5999;0.00092166768514608;0.164532005666045
protein_0431;35.50242003;28632.7344;0.0016880294973036;0.301339499356309
protein_0432;55.92119364;43239.7702;0.00401530980123431;0.716795202451847
protein_0433;30.08265564;25639.0716;0.00128078937541033;0.228640808578011
protein_0434;70.48736935;49709.6422;0.0058185020093121;1.03869303545377
protein_0435;43.61390875;35817.2803;0.00259404117349281;0.463076664109611
protein_0437;517.3728277;37464.8602;0.0321874803405168;5.74596547444565
protein_0438;197.3809343;15493.7083;0.00507831720362947;0.906558544242666
protein_0439;373.9529352;80699.8457;0.0501128265853572;8.9459183614284
protein_0440;408.0612091;108425.0068;0.0734706731509195;13.115656983503
protein_0441;51.37416789;46875.268;0.00399896693477374;0.71387774680007
protein_0442;18.89146794;16431.1675;0.000515458110333809;0.092017283557695
protein_0443;37.58699493;22092.4306;0.00137892407332045;0.246159377290794
protein_0444;235.3824893;73770.3446;0.0288346850688589;5.14743941182681
protein_0445;265.6376071;48448.0234;0.0213710013362684;3.81505587058817
protein_0447;10.28148547;20086.3905;0.00034293911004732;0.0612199608457262
protein_0448;317.4711597;28539.4011;0.015045560884026;2.68586644461451
protein_0451;247.6504943;51908.3869;0.0213469572801406;3.81076363289468
protein_0452;156.8504253;72263.822;0.0188220046737023;3.36002035172696
protein_0453;155.7048351;102375.8202;0.0264702925979214;4.72535861015111
protein_0475;1100.482244;34573.2154;0.0631803548085144;11.2786752349787
protein_0478;8.152009705;22931.3042;0.000310422142787624;0.0554151768355687
protein_0479;65.8748566;64960.3085;0.00710602957012498;1.26853671484596
protein_0481;8.346472912;16008.0388;0.000221870910359424;0.0396074056503364
protein_0482;0.462538414;6477.4645;4.97521779570127e-06;0.000888153697633858
protein_0154;572.6758774;49792.7419;0.047351547917194;8.4529872054405
protein_0493;77.56349378;50828.4522;0.00654671593500785;1.16869053854479
protein_0494;30.02472803;25472.3689;0.00127001153852928;0.22671679719369
protein_0495;7.473266165;32928.4135;0.000408639652070208;0.0729485286653289
protein_0499;133.6858782;10134.4748;0.00224981096601423;0.401626222307137
protein_0500;42.32206909;11814.6177;0.000830320602077942;0.148225131690572
protein_0501;245.9264898;11203.1758;0.00457515393408553;0.816736080843152
protein_0504;37.63048759;33917.0309;0.00211941947919644;0.378349315463529
protein_0930;3.126084634;5687.627;2.95250803198664e-05;0.00527068569373651
protein_0505;251.3849753;40473.2642;0.0168953346416928;3.01607980815356
protein_0511;200.8969625;24578.6204;0.00819955194420547;1.4637474533234
protein_0512;170.2034364;37058.9529;0.0104741965011055;1.86980685754869
protein_0513;1.413474838;12709.8299;2.9832322748107e-05;0.00532553324210871
protein_0515;127.8624776;18347.8102;0.00389570984840012;0.695444752138235
protein_0516;62.9776514;48953.7493;0.00511954858541746;0.913918986679015
protein_0517;97.4079206;35552.4439;0.00575073004408362;1.02659468639947
protein_0518;3.021691729;23552.7007;0.000118181668716045;0.0210972645566164
protein_0519;215.715989;106254.9456;0.0380619240721441;6.79464497673696
protein_0520;30.38626741;39056.1379;0.00197072442748462;0.351804937826068
protein_0521;49.50138468;16373.2147;0.00134589305764352;0.240262827649206
protein_0522;541.2984574;41327.0386;0.0371475626753408;6.63141725708896
protein_0524;33.46868815;35049.1603;0.00194793991365005;0.347737548006783
protein_0526;21.49887462;6491.6415;0.000231755208712203;0.0413719065206545
protein_0527;331.4159125;20359.387;0.0112046244114009;2.00019959129883
protein_0528;777.8392892;92332.383;0.119262296849655;21.2901734727771
protein_0529;290.4037641;40414.1751;0.0194892536898647;3.4791346709954
protein_0530;196.3818331;24437.8876;0.00796937423443999;1.42265715488104
protein_0535;191.4866673;63337.6477;0.0201400117447601;3.59530509738754
protein_0536;631.4153962;20840.0349;0.021851077537704;3.90075693352846
protein_0537;143.5479623;26155.1094;0.00623466067436662;1.11298382479166
protein_0538;407.4001993;23587.7092;0.0159575513601967;2.84867091808253
protein_0539;514.1484722;32590.1088;0.0278248997813879;4.96717704468812
protein_0540;596.5564843;32708.3981;0.0324018714341096;5.78423761655745
protein_0541;207.6206197;41948.0541;0.014462439368069;2.5817701915792
protein_0542;1327.999606;63954.6981;0.141035891528809;25.177098511874
protein_0543;406.4968884;23057.3243;0.0155641490912981;2.77844249912131
protein_0544;219.8702498;39274.892;0.0143397215458453;2.55986315312398
protein_0545;610.4749996;80773.3976;0.0818833275781313;14.6174465419219
protein_0548;185.7661239;21221.0626;0.00654625464005522;1.16860819022664
protein_0549;129.1198562;23346.8486;0.00500588132506671;0.89362761417515
protein_0599;2.355539211;5530.2461;2.16318690385749e-05;0.00386162480965995
protein_0600;120.2363366;68497.1056;0.0136762554716827;2.44142414779416
protein_0601;72.47261436;36142.634;0.00434963662543445;0.776477736428168
protein_0604;345.3820491;25262.7577;0.0144890452014992;2.58651974633439
protein_0605;68.09481638;11480.3463;0.00129816020139042;0.231741770979798
protein_0606;410.6292649;44368.5351;0.0302540998884139;5.40082701659726
protein_0607;1355.037007;36984.9536;0.0832214892563565;14.8563291981896
protein_0608;40.83908248;36790.101;0.00249497504016362;0.445391819698852
protein_0609;14.80271244;46336.7135;0.001139005389165;0.203330163532912
protein_0610;120.6663034;31300.9837;0.00627195947502932;1.11964224037992
protein_0611;100.9008115;105666.6584;0.0177048349070961;3.16058818617367
protein_0612;35.66401823;115891.4319;0.00686342434404252;1.22522791160189
protein_0613;98.35885517;47081.4052;0.00768992546540499;1.37277120662524
protein_0614;164.9895521;39994.0405;0.0109574872613156;1.95608176918848
protein_0615;232.7303967;22883.9729;0.00884389918812529;1.57877345032438
protein_0616;366.4092197;31738.152;0.019311111771903;3.44733357009125
protein_0617;205.002863;31771.5576;0.0108157759381757;1.93078409563698
protein_0620;17.69768581;17855.6481;0.000524748671550521;0.093675793121808
protein_0621;137.8649646;8308.5533;0.00190212289369265;0.339558497890647
protein_0634;207.7142432;93148.1598;0.0321291921592987;5.73556012822705
protein_0636;111.1823182;105141.387;0.0194119281724067;3.46533086439401
protein_0637;426.1474985;14610.7885;0.0103393407014075;1.84573300147495
protein_0638;632.0323465;17151.7261;0.0180014043399341;3.2135304389948
protein_0639;94.54516389;159702.7893;0.0250732753039831;4.47596931178878
protein_0640;13.55126377;29441.0218;0.000662509219644836;0.118268191927695
protein_0641;24.97276003;37882.8761;0.00157097305561528;0.280443105311575
protein_0642;273.8404051;34419.7228;0.0156517948106637;2.79408862215207
protein_0644;117.1034276;13895.9219;0.00270219210254385;0.482383285745795
protein_0645;187.2768818;34995.7659;0.0108832579109179;1.94283067652564
protein_0646;227.7664813;13563.5379;0.00513005529967152;0.915794598460833
protein_0647;664.68384;13678.8405;0.0150981471774951;2.69525391525545
protein_0650;68.56145227;28084.1177;0.00319742260915578;0.570789627676899
protein_0651;213.0770342;24488.0908;0.00866464589984109;1.54677395254557
protein_0652;65.98954368;53299.4369;0.00584059368886077;1.04263674358551
protein_0653;285.0221872;15556.9429;0.00736312502740536;1.31443224955516
protein_0654;394.8749213;27822.8931;0.0182440430474939;3.25684521920292
protein_0655;274.1276801;13106.0361;0.00596600343972078;1.06502433313826
protein_0656;715.6949824;19731.7336;0.0234505193151337;4.18628214812342
protein_0657;217.0324416;14189.4931;0.00511388298332672;0.912907588655283
protein_0658;331.3548926;7150.5077;0.00393449968609926;0.702369341010078
protein_0659;703.0165365;20315.8974;0.0237170571671162;4.23386329703356
protein_0660;305.3908106;11776.6737;0.00597224830191747;1.06613913809333
protein_0661;100.1722414;13148.3198;0.00218714158918964;0.390438764583525
protein_0662;530.2305382;10181.9555;0.00896510087129434;1.60040983439566
protein_0663;533.4164543;15621.5534;0.0138372527819431;2.470164669775
protein_0664;167.6346195;15798.5849;0.00439785746986042;0.78508590657038
protein_0665;1001.070034;26215.3626;0.0435792326956233;7.77957031189799
protein_0666;372.8895543;12373.4238;0.00766177430412988;1.36774578683341
protein_0667;630.455284;9860.2906;0.0103229364173788;1.84280458183277
protein_0668;184.0534226;31157.4491;0.00952280828020639;1.69996927435646
protein_0669;348.8187651;10842.6078;0.00628048001205518;1.12116328865882
protein_0670;257.6275506;23091.5399;0.00987880581869673;1.76352036762356
protein_0671;433.6567634;24269.9461;0.0174772937124186;3.11996854664924
protein_0672;724.6191561;11529.5311;0.0138733296179188;2.47660494567578
protein_0684;76.38678817;32110.2023;0.0040730574911756;0.727104062577626
protein_0685;17.44826247;60253.5283;0.00174579770262699;0.311652021796626
protein_0686;305.4656103;27355.9512;0.0138762908147543;2.47713356533161
protein_0687;212.2388548;54859.3632;0.0193345872145886;3.45152430144834
protein_0688;144.209238;53999.8547;0.0129313814320786;2.30845255545151
protein_0689;86.95877684;11736.948;0.0016948366687391;0.302554685249494
protein_0690;47.54656948;75708.0945;0.00597751606666001;1.06707951596752
protein_0691;11.09926244;76726.0489;0.00141415236254629;0.252448174409238
protein_0692;35.50427543;35873.0025;0.00211498665104795;0.377557986747336
protein_0693;21.26161322;36339.7979;0.00128303342318626;0.229041405981321
protein_0694;289.91989;9446.9434;0.00454808500724714;0.811903856717552
protein_0695;217.5187162;83851.069;0.0302875736979037;5.40680261181602
protein_0696;3.619875953;29523.6577;0.000177469243694509;0.0316810180932683
protein_0697;119.4076789;38260.1721;0.00758644693586107;1.35429868091601
protein_0706;1.703800308;68213.3349;0.000192995518120769;0.0344526993760607
protein_0707;40.8628684;28907.6342;0.00196155571582521;0.350168180301627
protein_0708;210.3921676;54724.1278;0.0191191097108293;3.41305821823766
protein_0710;80.6457312;32632.5051;0.00437009670321692;0.780130178287514
protein_0726;141.7222984;27540.2371;0.0064813445703968;1.15702073400902
protein_0727;409.5919966;27520.3128;0.0187181997124021;3.34148955287608
protein_0728;105.2156539;31938.3253;0.00558022547477651;0.996156970924091
protein_0729;321.6627431;60012.9004;0.0320556528795269;5.72243222389549
protein_0730;16.20937753;23440.9903;0.000630959583941827;0.112636091633947
protein_0732;171.3095591;24278.9489;0.00690670214458723;1.23295367159021
protein_0733;274.0500787;63865.13;0.0290638390944632;5.18834696673707
protein_0747;629.2135402;24512.5562;0.0256121425871031;4.57216549649659
protein_0771;381.8536214;81629.803;0.0517612684983703;9.24019086174833
protein_0772;49.87537303;17853.1609;0.00147863344346083;0.263959049469052
protein_0773;296.9387123;39095.595;0.0192776413747963;3.44135858403591
protein_0774;3.82425854;10361.3324;6.57994253013595e-05;0.0117462200215796
protein_0775;139.6300477;82061.6992;0.0190273646191283;3.39668029353566
protein_0776;93.13454421;17718.7838;0.00274033685348477;0.489192716605843
protein_0777;9.916276782;18769.5373;0.000309073276215332;0.0551743831893425
protein_0778;4.82740945;9713.7065;7.78678820203029e-05;0.0139006271048082
protein_0779;830.5412011;80716.6409;0.111322643443778;19.8728219476935
protein_0787;64.55620538;105897.919;0.0113523211695095;2.02656575801337
protein_0789;108.3021369;11145.8742;0.00200452008216303;0.357837987412867
protein_0790;346.9675188;52298.2726;0.030132517239369;5.37912262419647
protein_0791;136.3260126;31685.9673;0.00717306804613582;1.28050412467558
protein_0792;326.7151627;58211.1765;0.0315816572586448;5.63781663908383
protein_0793;31.57896096;20634.1537;0.00108204107295739;0.1931611477932
protein_0794;180.8109766;20513.7608;0.00615927121219993;1.09952563414846
protein_0796;8.442332722;32989.5514;0.000462485501940088;0.0825608496988909
protein_0797;8.532743848;15512.9804;0.00021980785133219;0.03923911755146
protein_0798;362.4729099;23169.7229;0.0139461920975418;2.48961203066246
protein_0799;177.5295681;45647.6574;0.0134570058170023;2.40228467702011
protein_0800;206.5583054;16044.1081;0.00550322779938627;0.982411689226848
protein_0803;546.4179813;141128.1618;0.128055405638219;22.8598800474336
protein_0804;529.1531156;144898.721;0.127322500271679;22.729045049241
protein_0805;27.3707586;46403.6347;0.00210910442300944;0.376507917625287
protein_0806;764.9489475;12875.9446;0.016355762653335;2.91975782260878
protein_0807;283.0911991;18092.8205;0.00850534415550658;1.5183361154337
protein_0809;657.9083714;24953.7461;0.0272621694735638;4.86672093920939
protein_0810;946.4787781;15513.9211;0.0243832565364793;4.3527902380355
protein_0813;85.98364026;37691.2326;0.0053816495928834;0.960708089888842
protein_0814;78.46729748;46415.2474;0.00604795587071338;1.07965411571361
protein_0817;26.46539117;35792.6468;0.00157300962897982;0.28080666530804
protein_0818;54.80874638;53993.5207;0.00491417665594417;0.877256905531632
protein_0819;100.2922375;33531.1739;0.00558438468354799;0.996899454329102
protein_0820;12.8498683;62668.1589;0.00133722615155841;0.238715650218462
protein_0821;130.7289399;35856.4059;0.00778390888729841;1.38954870805303
protein_0822;0.300669164;24994.8451;1.24795403197052e-05;0.0022277918947174
protein_0823;34.5549684;43441.875;0.0024927476218229;0.44499419090817
protein_0824;144.017323;106497.5388;0.0254690973830366;4.54662970446952
protein_0825;48.68087163;76554.8008;0.00618856597543178;1.10475520466257
protein_0826;8.110869052;37521.9623;0.000505373169693425;0.0902169649208076
protein_0827;211.7101009;56390.2862;0.019824631652577;3.53900484953216
protein_0830;7.570894136;9953.2606;0.000125132982913683;0.0223381821730031
protein_0831;315.3002408;38356.6487;0.020082797361991;3.58509144088027
protein_0832;151.8085823;21716.8379;0.00547459710002974;0.977300664434864
protein_0833;121.6585606;16985.5358;0.00343147764272296;0.612572088676319
protein_0834;117.7105267;49845.7785;0.00974322955995771;1.73931789841418
protein_0835;296.8370091;49365.3018;0.0243331925267865;4.34385303424808
